sedentary_minutes,lightly_minutes,fairly_active_minutes,very_active_minutes,calories,user_type
1440,0,0,0,1688,Beginner Level
937,126,0,0,2009,Beginner Level
1335,105,0,0,1632,Beginner Level
731,237,16,32,2002,Intermediate Level
1218,181,11,30,1776,Intermediate Level
1254,186,0,0,1467,Beginner Level
563,142,21,64,3363,Pro level
716,191,0,0,1447,Beginner Level
1440,0,0,0,2894,Intermediate Level
1127,213,12,88,3832,Pro level
1212,186,13,29,3011,Intermediate Level
1080,331,15,14,2116,Intermediate Level
1076,148,20,121,3331,Pro level
843,135,12,45,2655,Pro level
649,288,21,8,2236,Intermediate Level
1061,356,21,2,1982,Intermediate Level
676,195,32,19,2038,Intermediate Level
1108,243,11,78,2159,Pro level
1211,217,12,0,1814,Beginner Level
1440,0,0,0,2955,Intermediate Level
1256,184,0,0,2975,Beginner Level
1253,149,14,24,2386,Intermediate Level
1105,273,10,52,2638,Pro level
1278,130,16,16,1829,Beginner Level
688,171,116,9,1633,Pro level
758,141,0,0,1879,Beginner Level
1019,192,125,9,3287,Pro level
774,206,0,0,2926,Beginner Level
610,258,0,0,1555,Beginner Level
723,156,15,65,3635,Intermediate Level
726,209,34,29,1745,Intermediate Level
1222,55,21,65,3051,Beginner Level
48,0,0,0,57,Beginner Level
1068,326,0,46,2096,Intermediate Level
1035,378,5,22,2094,Intermediate Level
1358,75,6,1,2324,Beginner Level
1351,89,0,0,2413,Beginner Level
687,188,0,0,1444,Beginner Level
1280,160,0,0,2306,Beginner Level
1370,70,0,0,3266,Pro level
634,295,13,5,2027,Intermediate Level
1204,206,10,20,1878,Intermediate Level
1392,48,0,0,2229,Beginner Level
1077,352,7,0,2450,Intermediate Level
622,232,22,34,2499,Intermediate Level
796,189,14,50,1994,Intermediate Level
1217,130,27,66,1827,Pro level
1360,80,0,0,1928,Beginner Level
806,82,0,0,1934,Beginner Level
1084,356,0,0,1908,Beginner Level
1322,118,0,0,1368,Beginner Level
1082,247,0,0,1856,Beginner Level
1344,96,0,0,1344,Beginner Level
1265,34,0,0,1792,Beginner Level
839,39,4,28,1505,Beginner Level
1062,182,0,0,1419,Beginner Level
991,295,0,0,2987,Beginner Level
1106,226,0,0,2196,Beginner Level
696,228,42,19,3083,Pro level
712,331,15,4,3654,Intermediate Level
599,93,0,0,2572,Beginner Level
1219,115,10,96,2926,Pro level
1174,245,4,17,2847,Pro level
1321,47,30,42,2584,Intermediate Level
1354,86,0,0,2344,Beginner Level
1119,300,4,17,1946,Beginner Level
1111,293,29,7,2105,Intermediate Level
641,266,0,0,2281,Beginner Level
1276,164,0,0,2286,Beginner Level
1187,183,10,60,2852,Pro level
127,105,8,0,928,Beginner Level
1295,145,0,0,1630,Beginner Level
569,330,0,0,1698,Intermediate Level
734,135,0,0,2741,Beginner Level
1045,371,8,16,2093,Intermediate Level
1269,149,2,20,1995,Beginner Level
472,158,56,184,4274,Pro level
1193,120,0,0,2498,Beginner Level
716,355,0,0,1690,Beginner Level
1299,141,0,0,1435,Beginner Level
222,48,6,8,741,Beginner Level
1438,2,0,0,1995,Beginner Level
1440,0,0,0,1497,Beginner Level
845,164,98,2,1554,Intermediate Level
968,268,72,66,2670,Pro level
1215,191,5,29,2761,Pro level
1179,203,22,36,1819,Intermediate Level
677,145,16,137,4236,Pro level
1099,334,7,0,1878,Intermediate Level
1073,228,14,125,3589,Pro level
623,130,32,114,3625,Intermediate Level
1237,157,5,41,2112,Intermediate Level
1192,248,0,0,1860,Beginner Level
712,162,0,0,1399,Beginner Level
1440,0,0,0,2063,Beginner Level
1121,190,0,0,1692,Beginner Level
729,313,0,0,3145,Intermediate Level
628,195,0,0,1693,Beginner Level
713,176,143,24,1760,Pro level
1096,182,33,129,3577,Pro level
689,239,38,58,2254,Pro level
1182,258,0,0,2701,Beginner Level
761,229,9,21,1916,Intermediate Level
530,345,0,0,1658,Beginner Level
1440,0,0,0,2693,Beginner Level
711,350,0,0,2496,Beginner Level
1028,404,8,0,2004,Intermediate Level
1290,150,0,0,1404,Beginner Level
1438,2,0,0,1990,Beginner Level
1142,245,28,25,2380,Intermediate Level
1263,170,4,3,2750,Beginner Level
738,232,9,14,3033,Intermediate Level
801,214,23,5,1433,Intermediate Level
1139,243,17,41,3404,Pro level
531,346,46,13,3879,Intermediate Level
1257,136,14,16,1854,Beginner Level
1086,275,24,55,2793,Intermediate Level
709,199,7,24,1855,Beginner Level
1276,164,0,0,1763,Beginner Level
639,297,4,48,2174,Pro level
632,251,21,35,3162,Pro level
1341,81,12,6,2463,Beginner Level
645,369,15,12,2254,Intermediate Level
425,141,65,210,4392,Pro level
579,294,19,11,4900,Pro level
1437,3,0,0,1635,Beginner Level
1104,250,14,72,2752,Pro level
648,382,7,0,2346,Beginner Level
1261,118,54,7,1909,Beginner Level
537,300,43,14,3283,Pro level
